array1;1;M01;001;1000344;100000;344;0;1
array1;2;M02;002;1000000;100344;344;90;2
array1;3;M03;003;999656;100000;344;180;3
array1;4;M04;004;1000000;99656;344;270;4
array2;1;M05;005;1000243;100243;344;45;5
array2;2;M06;006;999757;100243;344;135;6
array2;3;M07;007;999757;99757;344;225;7
array2;4;M08;008;1000243;99757;344;315;8
WH;1000000;100000;
MAT
MAT003
23/02/2016
4
0
2000
5
15
10
1
